"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"394",279360,1445858913.55,82,0,-96,4,0,7e-05,0.00211,5,477,"LOTEK-162",1402,74,2508,15695,3,2,16047,NA,378,"2015-3",38,1839,0,0,0,1444569521.0752
"395",279361,1445858952.3363,80,0,-96,4,0,7e-05,-0.002088,5,477,"LOTEK-162",1402,74,2508,15695,3,2,16047,NA,378,"2015-3",38,1839,0,0,0,1444569521.0752
"1013",453755,1445855801.9655,39,0,-96,4,0,7e-05,0,6,479,"LOTEK-163",1407,74,2514,42131,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1014",453756,1445855840.7558,47,0,-96,4,0,7e-05,0.00191,6,479,"LOTEK-163",1407,74,2514,42131,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1015",453757,1445855889.2374,52,0,-96,4,0,7e-05,-0.003887,6,479,"LOTEK-163",1407,74,2514,42131,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1016",453758,1445855928.0277,39,0,-96,4,0,7e-05,0.00191,6,479,"LOTEK-163",1407,74,2514,42131,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1017",453759,1445855811.6648,43,0,-96,4,0,7e-05,0,6,479,"LOTEK-163",1407,74,2514,42132,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1018",453760,1445855850.4511,48,0,-96,4,0,7e-05,-0.002088,6,479,"LOTEK-163",1407,74,2514,42132,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1019",453761,1445855898.9339,62,0,-96,4,0,7e-05,-0.002689,6,479,"LOTEK-163",1407,74,2514,42132,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1020",453762,1445855937.7241,58,0,-96,4,0,7e-05,0.00181,6,479,"LOTEK-163",1407,74,2514,42132,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1021",453763,1445855986.2097,42,0,-96,4,0,7e-05,0.000111,6,479,"LOTEK-163",1407,74,2514,42132,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1022",453764,1445856423.5698,66,0,-96,4,0,7e-05,0,6,479,"LOTEK-163",1407,74,2514,42133,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1023",453765,1445856462.3561,63,0,-96,4,0,7e-05,-0.002088,6,479,"LOTEK-163",1407,74,2514,42133,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1024",453766,1445856510.8389,61,0,-96,4,0,7e-05,-0.002689,6,479,"LOTEK-163",1407,74,2514,42133,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1025",453767,1445856559.3245,59,0,-96,4,0,7e-05,0.000111,6,479,"LOTEK-163",1407,74,2514,42133,4,2,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1026",453768,1445856723.1741,52,0,-96,4,0,7e-05,0,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1027",453769,1445856771.6569,50,0,-96,4,0,7e-05,-0.002689,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1028",453770,1445856810.4432,37,0,-96,4,0,7e-05,-0.002088,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1029",453771,1445856858.9299,43,0,-96,4,0,7e-05,0.00121,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1030",453772,1445856897.7162,36,0,-96,4,0,7e-05,-0.002088,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"1031",453773,1445856946.2018,41,0,-96,4,0,7e-05,0.000111,6,479,"LOTEK-163",1407,74,2514,42134,6,1,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
